Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1945;0;0;0;0;0;0.1;0.2;0.2;0.3;0;0;0;0;0;0;0.1;0.2;0;0;0;6.4;0.2;0;0.4;0.4;0.2;0;0.1;0;0;1.1;6.4;9.9
  09/1945;0.2;0.3;0;0;0;0;0;0;0.3;0;1.5;0;0;0;0;15;11.2;0.5;0;0;0;0;0;0.1;0;0;0;0;0;7.3;---;15;36.4
  11/1945;12;0.2;0;1.8;4.8;0;0;20.9;0.3;0;0;22.4;2.4;0.3;0.2;0;0;0.3;0.3;0;25.6;3.3;0.3;1.5;0;0;4;1.4;0;1.2;---;25.6;103.2
  12/1945;0;0;0;0;50.4;12.7;1;0.3;0.1;0;0;0;0.4;35.9;27.4;1.8;1;0.3;0;0;0;0.3;0.1;0;0.1;15.3;0;16;1.4;11.5;28.7;50.4;204.7
  01/1946;1;1.6;0.4;2;10.1;43.5;2;6;0.4;0.7;0;4.7;4.4;37.5;0.2;0;0;5.2;26.8;5.6;0.1;0;21.3;2;3.5;2.9;21.2;2.8;0.3;0;0;43.5;206.2
  02/1946;8.4;12.8;0;0;0;0;0;0.4;0;0;13.1;0;7.4;0;29.9;0.4;0;0;3.7;0;3.8;0.4;8.2;0;2.6;0;0;0;---;---;---;29.9;91.1
  03/1946;6.7;0;22;14.5;9.5;6.3;1.6;0;0.3;7;6.1;0.4;48.2;15;3.5;2.8;0.1;0;0;0;0;4;0.4;11.9;2;0;0;0;0.1;0;20.3;48.2;182.7
  04/1946;5;0.3;0;0.1;0.1;0.1;8.8;0.5;0.2;0;3.6;0.2;0.4;0;0.1;4.3;1.8;0;1.3;0;0;0.1;0;0.2;0.1;0.4;0.3;0.3;0;0;---;8.8;28.2
  05/1946;8;0.5;0;2.4;0;4.9;0;0;0.3;0.3;0.7;4.4;0.3;0;0.4;0;0;0;0.1;0.1;0.4;0.1;0.5;0.1;0;0;0;0.2;0;0;0;8;23.7
  06/1946;44.5;10;0.1;0.2;0;0;0.5;0.4;0.1;0.3;0;0.1;0.1;0;1.2;0;0.4;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;---;44.5;58.1
  07/1946;0;0.1;0;3.8;0.8;0;0;5;0;0;7.3;0;18.7;0;24.6;2.1;0;0.1;0;0.5;0;0.1;7.3;0;0;0;0;0.1;0.3;0.1;0.2;24.6;71.1
  08/1946;0;0;0.1;0.1;0;0.9;0.3;0;0.1;0.3;0;0.1;0;0;0;0;0;0;0;0;0;0.4;2.6;0;0;0;0;0;0;0.1;0;2.6;5
  09/1946;0.3;0;0;0;0;1;0.1;0;0;0;0;0;0;0;0.2;1.4;0.3;0;0;0;0;0;5.2;0.6;0;1.4;0;0.9;5.1;0;---;5.2;16.5
  10/1946;0;0;0;0.1;0;0;13.9;4.2;0;0;0;12.2;23.8;0;7.2;9.6;1.6;35.3;4;0.4;0;31.8;4.6;0;0;0;0;0.5;0;0;0;35.3;149.2
  11/1946;10;19.8;2.4;0;0;1.2;0.1;5.2;32.8;0;0;0;0;0;0;0;0;0;4.8;0.3;0;0;0.2;0;36.8;0.1;0;0.2;6.4;0.3;---;36.8;120.6
  12/1946;0;0;0.1;0;26.8;3.1;3.6;4.9;3;0;0;0;0;0.5;1.8;1.6;0.3;0;0;0;2;9.7;14.3;7.9;2.4;0.1;0;0.3;0;26.1;22.3;26.8;130.8
  01/1947;29.6;41.9;4.4;4.7;0.2;4.5;0;33.6;0;0;4.4;0.2;0.8;27.3;0.3;1.2;0;17.8;20.2;22.4;0.2;0;0.2;30.4;28.1;18;65;0;3.7;1.6;0.3;65;361
  02/1947;0.7;0.3;0;0;1.3;0;0;0.3;0;22.5;5.6;0.2;0.2;1.8;38.7;0.2;12.3;26.5;0.9;0;0.3;0.1;0;1.1;15.4;45.9;14.3;33.4;---;---;---;45.9;222
  03/1947;14.6;0.9;3.7;6.8;15.7;42.8;1.4;0;0;9.6;0;2.4;0.4;9.9;1.4;0;2.3;8.8;2.7;2.1;0.2;0.2;0.2;1.8;0.7;0;0.1;0.1;0;0.2;0.2;42.8;129.2
  04/1947;0;0.3;0.3;0.2;0;3.3;0;18.2;0.3;0;6.9;1.5;0;0;0.3;0.3;0.2;2.4;5.2;0.5;0;0;0.2;0.3;1.3;0.3;0.1;0.2;0;0;---;18.2;42.3
  05/1947;0;0;11.8;0.5;0;0;0.3;0.1;0;1.2;7;0.1;0;0.4;0.1;0.2;0.1;1.1;43.5;2.1;0;0;1;12.4;0;0;0.1;0.1;0;0;0.4;43.5;82.5
  06/1947;0;0.4;0.5;0.2;0.2;0.2;0.2;0.1;0.1;0;0;0.1;0;4.3;0.1;0;0.1;0.3;7.8;22.3;0.5;7.2;0.2;0;0.2;0;0.3;0;0.2;0.3;---;22.3;45.8
  07/1947;0;0;1.3;0.3;2.7;0;0;5.6;15.8;0.7;0.3;0;0;0;20;0;0.3;0.3;0;0.3;0.3;0.3;0.3;0;0.1;0;9;32.3;0.3;0.1;11;32.3;101.3
  08/1947;17.2;0;0;0;0;0;0;0.4;0;2;3.6;2.9;0.5;0.2;0;0;0;0;0;0;0;0;0;7.4;4.8;0;29.4;0.6;1.5;0;1.1;29.4;71.6
  09/1947;7.6;0;3.5;15.1;0.2;0;0;8;0.3;0;0;0.4;0;0.7;0.7;0;6.7;7.6;0;0;0.2;0.1;8.1;38.7;16;0.1;0.3;0.3;2.5;0;---;38.7;117.1
  10/1947;0.7;0;23.4;0.2;0.2;0;0;1;0.5;0;0;0.3;0;0;0;0;0.1;0;0.6;2.8;0.2;0.2;17.4;0.6;7.1;0.4;0;0;0.4;0.1;0;23.4;56.2
  11/1947;17.9;0.5;22.4;0.6;0;0.1;0.2;0;1.1;0.6;0;4.5;3.3;0;0.8;0;0;0;0;0.8;0.2;0.3;0;27.7;11.7;40.7;4.6;0.1;0;0;---;40.7;138.1
  12/1947;1;5.7;0;0;0;0;0.1;0.2;70.5;3.6;0.1;0;8;0.2;2.1;1.6;3.7;57.7;59.8;15.3;8.9;0.1;9.8;0;0.5;0;0.5;0;17.2;0.3;2;70.5;268.9
  01/1948;0;0;2.2;2;0;0;0;3.1;0;43.6;15.3;0.2;3.1;3.6;2.6;8;5.9;0;0;1;8.5;6.8;0;1.1;1;0;0;29;14;1;0.1;43.6;152.1
  02/1948;0;0.1;7.8;0;18.6;0;1;16;7.6;17.9;1.3;0.1;2.2;17.8;0.7;1.2;0;1.7;2.1;0.2;3.4;5.7;8.7;1.5;0;0.6;5.2;11;10.8;---;---;18.6;143.2
  03/1948;9.8;0.3;0;0.3;0.3;2.9;0.8;0.2;0.2;56;80.2;3.8;10.3;14.9;17.4;0.3;0;0;0.3;0.3;0.3;0.1;6.6;21.5;31.2;1.8;0;0;0.2;4.9;0.5;80.2;265.4
  04/1948;0.3;0;21;1;0.2;0;0.3;0;0.1;0;0;0.3;0;0.2;0.3;0;0.2;5.2;0.1;2.5;14.1;0;0;0;0.2;0.4;0.3;0.2;0.1;0.1;---;21;47.1
  05/1948;1.8;0.4;7.7;8.1;11.7;0;0.3;0.3;0.1;0.3;0.1;0;0;0;0;0.2;29.4;0.2;2.8;1;0.7;2.2;0.4;0.3;0;1.2;0.3;8.2;0.2;11;2.4;29.4;91.3
  06/1948;0.3;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.4;0.1;0.1;0.6;0;0.3;0.3;0;0.2;0;0;0.3;0.3;0.4;0.2;0;0;0;0.1;0;0.3;---;0.6;5.3
  07/1948;0.4;0;0.2;0.3;0;0;0.4;0.3;0.4;0.1;0.2;0;0;0.6;3.3;0;0.3;0;5.1;0.2;0;0;0;7.2;0;1.8;1.6;24.7;6.3;13;17.1;24.7;83.5
  08/1948;3.7;1.8;0;0;4.4;2.3;21.8;0.3;0.2;0.5;12.3;6.6;10.9;0;0.3;0.2;0.1;0.3;0.3;0.1;0.1;0;0;0;0;0.6;0.4;2.4;0.3;0.1;0.2;21.8;70.2
  09/1948;0.1;0.1;0;0;0;0.1;0;0;0.1;2.5;18.1;1.3;0.2;0.1;0.3;0;0;0;0;0.1;0.2;0.1;0;0;0.1;0;0;0;0.1;0;---;18.1;23.5
  10/1948;0;0.1;10.4;8.9;0;2.5;0.2;0.1;0;9.5;0.5;42.2;0;0.1;3.4;0;0;0;0;0;0;0;0;5.8;0.3;0;6.2;25.6;4.3;0;0.1;42.2;120.2
  11/1948;0.1;0;0;0;0.1;0;1.2;6;6.4;0;2.5;0.8;2.7;0;0;0.1;3.9;0;0.6;0;0;1.4;0;0;0.2;0;49.3;5.1;0.2;0;---;49.3;80.6
  12/1948;0;0;4.4;0;0.1;0.1;0.1;0;5.1;4.2;0.2;0;0;0.3;0;0.1;24.2;25.3;18.2;0;0.2;0;0.1;0.1;8.2;0.2;2.4;0.1;0;0;0;25.3;93.6
  01/1949;0.1;0.1;0;0;1.2;19;0.1;14.3;0;0;27.4;73.9;9.8;8.2;2.1;0;3.1;29.9;4.9;0.5;0.6;0;0;0;3.1;0.2;2.2;0;0;5.5;6.2;73.9;212.4
  02/1949;0.4;0;0;2.4;0.2;4.3;9;4.7;71.8;0.2;0;0;0;0;0;24.3;51.4;2.8;8.1;0;3.9;33.6;0;7.6;0;0;2;0.1;---;---;---;71.8;226.8
  03/1949;0.1;4.3;0;1.1;0;0;30.9;12.5;10;0;0;0;0;0;0;0;0;0.4;1.7;10;17.1;0.2;3.4;0.4;33.6;12.6;18.7;5.2;0.3;3.3;15.2;33.6;181
  04/1949;2.3;24.7;33.8;4.7;0.8;0;0.1;0.1;0.4;0;0.1;0.1;0;0;0.1;0;0.1;0.2;0.1;0.1;0.1;0;0.1;0;10.2;0.1;0.3;0;0.1;0;---;33.8;78.6
  05/1949;0;0.2;0;0;6.6;0.7;0;2;0;0;0;13.4;0;0;0.7;6.5;2.4;0.2;0.3;0.1;0;0.1;0.1;0;0.2;0;0;0.2;0.2;0.1;0;13.4;34
  06/1949;0.2;0;0;0;0.1;18;0.1;0.3;0.1;0;0.4;1;0;0.2;23.3;0.1;2.9;0.6;0.3;0.1;0.2;0;0.1;0;0;0.3;3.8;0.1;0.1;0.7;---;23.3;53
  07/1949;4.5;0.6;0.1;0;0.1;0.2;0.1;1.1;0;0.2;0;0.2;0.1;0;0;0;0.2;1;3.8;0;0.1;2.3;0;0;7.6;0;0;0.2;0.1;0.1;0.1;7.6;22.7
  08/1949;0;0;0;0;0;0;0;0;0;1.9;1;0.7;0;0;0;0.7;0;0;0;0;0;0.4;9;0.6;0.8;0.1;0;0;0;0;3.9;9;19.1
  09/1949;0;0;0;0;0;27.5;1;0.2;0.1;0.2;0;0.5;2.2;0;0.7;0;0;0.2;0.1;0;0;1.5;0;0;0;0;0;0;0;0;---;27.5;34.2
  10/1949;0;0;0;0;1;5.3;0.8;4.3;0.9;0.1;0;3.6;5.2;0;0.1;0;25.6;0.9;0;0;0;0;0;0;0;1.4;0;0;3.8;2.9;0;25.6;55.9
  11/1949;0;0.1;0;0;0;26.4;12.7;0;0;58.4;2.1;0;0;0;0;0.1;0;0;2.2;0;0;1.9;1.2;0;0.1;0;0;0;0;0;---;58.4;105.2
  12/1949;4;44.7;45.5;0.1;0;0;7.1;18.9;4.9;7.1;0.6;0;1.6;0.8;0.2;6;13.5;0;0;0;0.1;0;0;32.9;0.1;3.1;7.1;51.7;16.2;3.5;0;51.7;269.7
  01/1950;0;0.1;28.3;0.6;21.7;0.5;0;29.7;0.2;4.1;2.7;22.6;1.3;7.7;0;0;0;3.5;12.7;28.7;2.2;1.1;12.7;2.8;3.9;0.1;0.1;5;0.5;15.5;3.4;29.7;211.7
  02/1950;0.1;0;0;0.3;10.4;4.8;9;1.7;37.6;5.2;22.4;16.9;0;0;2.5;16.8;13.4;40.1;0;15.5;0.1;5.1;26.8;1;6;0;0;26;---;---;---;40.1;261.7
  03/1950;0;1.3;2.9;0;0;5.3;3.7;0.2;27.4;0.1;3.2;0.5;1.1;0;0;0;2.5;13.7;5.7;50.5;10;0.2;0.1;0.1;0.1;0.1;8.9;0;0.1;0;20.7;50.5;158.4
  04/1950;20.4;13;14.4;0.3;0.2;0.4;0.1;0.2;0;0.1;0.1;0;12.6;8.8;26.1;1.4;0;0.1;0;10.2;10.9;0.1;0;0.1;0.1;0.1;13.6;14.6;0;11.1;---;26.1;159
  05/1950;0;0.1;0.1;0.3;0.9;0;0;0;0.1;0;0.2;0.1;0.2;0.1;0;0.1;0.1;0;0.1;0;0;0;0.3;0;0.1;0;0.1;0;0;2.9;0;2.9;5.8
  06/1950;0;0;0;0.2;0;0;17.4;0.1;0.1;0;0.1;0;0;0;0.1;5.3;0.1;0;0.1;0;0;0;0;0;2.3;0;0.1;0.1;0.2;0;---;17.4;26.2
  07/1950;0.2;11.5;0;0;5.6;0.2;0.1;0.1;0.7;0.3;0;0.1;0;0;0;0;0.1;0;0.2;0.1;0;0;0;0.3;0.1;0.1;0;0;0;0;0;11.5;19.7
  08/1950;0.1;0;0.7;0;0.4;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0.1;0;0;0.7;1.7
  09/1950;0;0;0;0;0;0;0.1;0;0;0;2.1;0.1;1.4;0;0;0;0;0;0;0;0;2.3;26.1;7;3.3;3;0;0.1;0.1;0;---;26.1;45.6
  10/1950;0.1;5.9;0.1;0;0;19.4;0;0;13.6;0.5;4;25;25.3;0;21.2;13.8;8.1;0;31.4;6.8;3.1;0;0.1;0;1.2;0;0;0;0;0;0.2;31.4;179.8
  11/1950;0.8;0.5;0;0;0;0;0;0.6;12.5;0;0;0;7.8;0.2;0.3;0.5;1.4;9.2;0;0;15.5;0;38.8;0;0;0;47.4;5.9;12.2;0;---;47.4;153.6
  12/1950;0;0;1.5;0;1.5;16.2;4.3;0;0;6.2;0;0.4;4.4;3.4;24.1;1.3;0;0;0;0;0;1;0;18.2;0;0;0;28.7;0;9.9;5.5;28.7;126.6
  01/1951;15.8;0.4;14.1;11.6;13.5;12.9;1.2;49.2;0;0;1.8;0.2;0;20.6;44.7;1.8;1;14.4;0.9;2.9;11.9;0;0;0;17.2;54.4;16.5;11.8;1.6;0;0.1;54.4;320.5
  02/1951;0;0.6;0;27.3;1;4.2;1.4;44.9;0.3;1;1;0.1;0.1;0;0;0.2;0;8.1;2.6;10.7;0.9;7.1;13.3;0.1;9.2;0.1;0.8;0;---;---;---;44.9;135
  03/1951;0;0.1;0.1;0;0.1;4.1;36.3;23.9;0;0;0;2.2;13.6;0.1;24.3;9;0;0.1;7.6;14.3;0;0;0;0.7;0.3;1.4;0.2;0;0;0.1;0;36.3;138.5
  04/1951;0.2;25.8;4.5;2;0.2;0;0;0;0.2;0.2;0;0;0;1.4;8.3;4.3;0.6;0;0;0.1;0;3.5;0.4;0;0;0;2.1;0.2;0;0.1;---;25.8;54.1
  05/1951;0.1;0;0.5;18.4;0.2;0.1;0;0.1;0;0;0.1;0.3;0.1;0;0;0.1;0;0.2;0.4;0.1;0.2;0;0.1;0.1;0.1;0;0;0.2;0;8.4;0.1;18.4;29.9
  06/1951;3.2;0.6;0.1;0.2;0.1;0;3.7;0;0;0.1;0.1;0;0;0.2;0.1;0.2;0.1;0;0;0;0.2;0;0;0;0;0.7;1.4;0;7.2;0;---;7.2;18.2
  07/1951;0.2;0.1;0;0;34.9;0.1;0;1.4;0.1;0.1;0;0.1;0;0;0.1;0.1;0;0;0.1;0;0.1;0.1;0;1;0;0;0;0.2;0.1;0.1;0;34.9;38.9
  08/1951;0;0.1;0.5;0;8.8;1.2;0;0;0;0.1;0.1;0;0;0.1;0;0.6;0.1;0;0.2;0;0;17.2;11.1;3.9;0;0.1;0;0;0.3;4.5;0.1;17.2;49
  09/1951;0;0;0.2;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0.8;3.1;3.6;0.1;0;0;0;0;0;0;0;0.5;0.1;0.1;1.2;---;3.6;9.9
  10/1951;1.5;0;0.1;0;0;3.3;0.4;0;0;0;1.1;0.1;0;1;7.4;0.7;0.2;0;9.1;14.4;11.2;0;0;0;24.6;1.3;0.1;28.3;20.5;1.3;0;28.3;126.6
  11/1951;0;0;0;0;0.9;6.6;0;0;0.2;0;0;0;0;0;2;0;27.7;0;0.2;0.3;0;0;0;3.2;18;13;0.1;3.8;0.6;8.3;---;27.7;84.9
  12/1951;0;0;8.6;0;0;0.4;0;32.9;10.5;0;27.4;1.1;4.5;0;0;19.1;2.7;0.8;0;0;0;0.9;27.4;1.2;0.1;0;0;0;1.8;2.6;16.4;32.9;158.4
  01/1952;36;9.2;0;0.3;0;0;9.3;52.5;7.1;0;0;0;7.7;0.1;0.6;2.3;0;3.1;0;0.1;0;0;0;56.5;21.2;69.1;7.1;0;0;0;0;69.1;282.2
  02/1952;9;2.6;16.8;0;1.7;4.4;7.1;2.7;0;0;0;18.3;20.2;22.1;0;0;0;1.3;8.2;5.7;23.5;42.9;1.5;0;71.7;2.3;0.1;0;3.2;---;---;71.7;265.3
  03/1952;0;0.2;0;0.8;0.5;0.1;0;0;0;34.9;19;0.7;8.4;0;54.4;10.8;3.8;0;8.6;0.2;0.1;0;0;21.9;7.3;38.2;0.7;0;0;0.2;0;54.4;210.8
  04/1952;0.7;0.1;0.1;0.1;0;0.1;0;0;0;0;0;2.5;1.1;0.1;0.1;0;0;0;0;0;0.4;0;4.8;3.4;0;0.2;0;0;0;0.1;---;4.8;13.8
  05/1952;1.5;0.8;0;0;8.6;0.8;0.2;0;0.1;0.2;0.1;0;0.3;0.1;0;0.1;0;0;0;0.2;0.1;0;0;0.1;14.7;0.1;0;0.1;0;0.1;0.1;14.7;28.3
  06/1952;0;0.1;0.1;0;0.1;0;0;0.5;2.5;45.8;0.1;0.3;0.2;14.8;8;4.5;29;4.2;0;0;6.6;0.5;0;0;0;0;0;0;0;0.8;---;45.8;118.1
  07/1952;0;0.3;0;0;0.8;0.3;0.3;0;0.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0.5;0.2;0.3;0;0;0;0;0;0;0;0.8;2.9
  08/1952;0;0;0;0.1;0;0.1;0;0.4;0;0.1;0;0;0;0.1;0;0;0;2.6;1.8;0.1;0;0.1;0;0;0;8.9;0.1;0;0;0;0;8.9;14.4
  09/1952;1.6;0;0;7.9;8;8;0;0.7;1.8;0;0;5.3;0;0;0.5;3.7;15.1;22;0.1;0;0;0;0;0;0;0;0;0;0;0;---;22;74.7
  10/1952;0;0;0;0;0;0;1.3;5.2;0;0;9.1;3.4;3.5;0;0;0;0;32.9;0.1;0;0.3;1.2;0.1;0.5;9.3;0;16.9;23.8;0.5;0;12.8;32.9;120.9
  11/1952;0;29.6;0.1;1;0.3;0;0;7.2;0;0.1;0;0;0;0;0;0;0.9;0;4.2;18.5;1.5;1.8;0;0;0.5;0;6.5;0;0.7;10.5;---;29.6;83.4
  12/1952;2.1;0;0;0;23.5;0.1;0.1;0;0;0.1;0.9;5.5;0;0;0;0;0;0;10.4;4.2;13.7;0.2;0;0;13.8;2.4;2.4;3.6;15.3;4.3;3.4;23.5;106
  01/1953;13;1.1;2.1;4.5;7;0.2;11.8;15;0;0;0;11.6;0.1;15.7;9.2;0.4;0;0;0;0;0.3;0;0;53.4;0.1;0;0.6;20.5;6.5;1;3.4;53.4;177.5
  02/1953;26;1.5;0.1;0;0;0;0;0;0;0;29.6;0.2;32.1;46.2;0.3;1.6;0.1;0;2.3;0;0;0.1;0;12.7;0.1;0;0;0;---;---;---;46.2;152.9
  03/1953;2.3;0.5;0;0;0.1;0.1;0;0.1;0;0;22.4;10.6;0.1;0;0.2;0;0.1;0;0;9.8;21.3;11.1;0;16.8;17.9;7.1;0;20.5;1.3;1;28;28;171.3
  04/1953;0.2;82.3;0.1;5.9;17.4;0;19.3;1.7;0.1;0.3;0.3;0.1;0.2;0;0;19.8;6.9;0.5;0;0.1;3;0.7;0.1;1.5;2.8;0.4;0.1;0.1;0;0.1;---;82.3;164
  05/1953;0;0;0.2;20.1;0;0;1.3;0;0;2.4;0;7.5;0;0;0.1;0.1;0.1;0;0;0;0.1;0;0.7;0;5.5;6.5;0;0;0;0.1;20.5;20.5;65.2
  06/1953;0;0;0;0;0;0;0;0;5.9;11.2;0;0;0;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0.2;0.1;0;---;11.2;17.6
  07/1953;0.4;0;0.8;0;0;0;0;0;21.9;0.1;0;0.1;0.1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;6.9;5.3;21.9;46.6
  08/1953;5.7;0;0.9;0;0;0.1;0.1;0.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;51.3;1.1;0;0;1.1;0;1.9;0;0;51.3;62.4
  09/1953;0;0;0;0;13.6;18.3;0;0;3.8;1.4;0.1;0.6;0;0;15;0.2;0;0;0;0.3;0;0;0;0.1;0;0;0;0;0;0;---;18.3;53.4
  10/1953;0;3;8.7;7.3;0.5;1.2;0.4;0.3;0.1;0;2.1;1;0;0.1;0;2;0;29.1;0.1;0;0;18.5;0;0;0;0.6;0.4;1.8;8.3;0;10.2;29.1;95.7
  11/1953;13.5;0.7;0.2;0;0;0.6;6.3;0.4;0;0;0;0.1;4.4;30.9;0;0;0;0;12.9;0.5;0;0;0;0;0;0;0;3.6;14.3;16.6;---;30.9;105
  12/1953;0;9.6;1.2;20;10.3;0.1;0.1;0;0;0;1.4;1.7;0;0.7;0;0.3;17.5;3.2;0;0.2;0;0;0;0;0;8.8;0;7.4;3.2;0;0;20;85.7
  01/1954;1.7;10.4;29.5;2.3;3.5;0.2;1;0.7;25.3;0.3;41;0;0.3;2.1;0;0;1.8;11.4;9.1;0;25.4;13.2;10.3;0;4.5;0;0.1;0;2.3;0;0;41;196.4
  02/1954;0.1;0.3;0.9;0.9;8.4;18.8;19.5;10;0;0;0.1;0;0;0;13.9;1.6;48.7;7;3.3;0;0;2.7;0.6;0;0.1;0.1;33;0;---;---;---;48.7;170
  03/1954;4.8;0.8;0;0;1.6;18.6;1.3;0;7.4;34.2;1.8;19.2;0;0.1;0;0;0;4.4;0.1;0.2;1.2;0;0;0.1;0;0;20.4;2.6;0.4;25.9;0;34.2;145.1
  04/1954;0.1;1.5;2.3;11.5;0.5;0.1;0;0;0;0;0.1;0;20.6;3.8;0.3;0.3;0;0.1;0.1;0;0.1;0;0;0;0;0;0.7;0.1;0;7.2;---;20.6;49.4
  05/1954;1.1;0;0;0;0;0.7;0;1.5;0.3;14.9;0;37.9;7.7;0;0;0.1;3.8;7.9;1.3;14.1;9.8;0.9;0.1;0;0;0;0;0;0;0.2;0;37.9;102.3
  06/1954;0;0;4.5;0.4;14;6.2;0.4;0;0;3.1;0;0.1;2.3;5.9;0;0;0;1.1;0;0;0;0;0.4;0;0.2;0;0.1;0;0;0;---;14;38.7
  07/1954;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;12.9;0.2;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;12.9;14.8
  08/1954;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0.1;1.4;0.5;0;0;0;1.4;3
  09/1954;0;0;0;0;0;0;0;0;0;0;0;0;6.2;0;0;0;0;0;5.2;0;0;0;0;0;0.4;0.8;6.2;0;8.7;14.4;---;14.4;41.9
  10/1954;10;0.2;18;0;0;0.8;0;0;0;3;0.1;1.9;1.6;8.3;0;0.7;0;16.2;0;9.4;25.1;0;0;0;0;0;31.8;0;8.4;0;0;31.8;135.5
  11/1954;0;0;0;0;0;0;0;0;0;0.8;0;0;0;14.3;1.9;0.1;0;0;0;0;0;0;10.7;0;0;0;0;0;0.2;0;---;14.3;28
  12/1954;0;0;21.2;0;0;0;12.1;3.2;3;7.3;0;33.4;0;0;0;11.4;0;6.6;16.1;1.7;0;18.3;0.2;0;0;0;0;2.7;1.8;0.5;0;33.4;139.5
  01/1955;0.2;37;5.4;31.7;11.9;0;0;0;0.8;11.7;0.1;7.6;11.3;35.8;1.2;0.9;9.8;0;0;0;0;0;0.1;0.1;0;0;0;0;1.3;11.5;0;37;178.4
  02/1955;0;0;18.5;4.4;0;0;0;0;0;8.9;10.8;0;0;0;0;0;0.1;0;0;2.6;92.6;2.8;2.1;0.5;1.7;1.5;0;0;---;---;---;92.6;146.5
  03/1955;0;42;12.5;0;21.3;0.3;0.3;0;0;29.4;0.9;0;0;12.3;0.5;0;0;0;0;0.1;0.1;0;0;0;0;0;1.7;0.3;8.6;8;0.6;42;138.9
  04/1955;0;0;0;5.6;0;0;0;0;0;3.1;0;5.8;0;0;2.4;3.4;0;0;0;0;0;0.1;0;0.1;0;0.1;0;9;0.1;0;---;9;29.7
  05/1955;0;0.1;0;0;1.8;0.1;0;0.1;0.1;0.1;0;0;0;0;31;2.6;0.8;0;3.2;0;0;0.1;0.8;0;0;0;0;0.1;1.2;0.5;17.4;31;60
  06/1955;0.1;0;0;0;0;0.1;0.1;7.8;3.3;0;0;1.1;1.9;0;0;3;0;0;0;0.3;0.1;0;0.1;0.1;0;0;0;0;0.1;0;---;7.8;18.1
  07/1955;0;0;0.2;22.7;9;0;1.4;0.3;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;2;0;22.7;36
  08/1955;0;0.1;0;0;0;0;0;0;0;0;1.4;0.2;0;0;0;0;0;0;0;0.1;0;0;0;0;15.1;32.9;45.8;6.2;2.1;0;0;45.8;103.9
  09/1955;0;0.5;0;5.9;0;0;1.6;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0.8;1.4;0;0;0;0;---;5.9;10.5
  10/1955;2.4;0.1;0;0;0;0;0;0;0;0;0;21.2;0;0;8.3;1.2;0.3;0.2;0;0.5;0;0.1;0.2;0;0;0.1;54.4;0;0;0;3.4;54.4;92.4
  11/1955;14.8;32.4;6;0.1;0;0;0;0;13.2;0.6;0.1;0;0;0;0.1;0;0;1.8;0;0.6;0.2;15.6;8.1;0.1;0;0;0;0;0;0;---;32.4;93.7
  12/1955;0.1;24;28.1;0;0;0;4.1;0;0;0;0;34.4;0.4;0;0;9.5;0;0.1;0.1;0;1.9;0.1;0;0;20.5;6.1;0;0;42.3;0.4;18;42.3;190.1
  01/1956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;5.3;59.1;4.2;0;0.1;13.5;0.7;0;1.1;0.7;13.5;2.2;11.5;1.2;59.1;115.9
  02/1956;0;0;0;0;0;0;0;0;0;19;8.2;27.8;13.9;3.1;1.2;7.8;7.3;0;63.5;5.1;0;6.1;1.8;59.4;31.7;22.2;5.4;0;12.1;---;---;63.5;295.6
  03/1956;5;2.3;0;0;0;0;1.3;2.2;0;24.7;2.2;3.2;28.7;15.1;0.4;0;0;8.8;11.7;0.8;0;0;0;16.5;0.3;0.8;0;1.8;13;43.6;0;43.6;182.4
  04/1956;0.1;0;27.7;0;0;3.1;0;0;3.8;0.5;0.7;1.1;0;0;0.1;0;0.3;0.1;0.1;0;0.3;0;1.3;3.8;2.2;0.1;74.8;3;0;0;---;74.8;123.1
  05/1956;8.1;1;0;8.5;0.8;0;0.8;4.4;9.5;0;0;0;0;0;0;0;0;0;0;0;10.5;0;1.3;36.2;37.9;2;0;0;0;0;7;37.9;128
  06/1956;3.4;0.8;1.3;0;0;0;0;0;0;10.6;16.8;27.4;0.2;9.3;9.2;0;2.4;0.2;0.9;0.3;0;0;0.3;0.1;0.1;0;7.2;0;0;0.6;---;27.4;91.1
  07/1956;0;0;0;0;0;0;0;0;0;0;0.2;0;0.1;11;0.1;0;0;0;0;0;0.8;7.1;24.4;0.9;0;0;0.1;0;0;14.1;22.2;24.4;81
