Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1945-11-30
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
1968-04-30;12;60;22.893333;17.307333;13.85;77.3;
1968-05-31;15;90;21.509677;14.645161;10.022581;76.282258;
1968-06-30;12;41.9;21.13;14.946;11.21;79.666667;
1968-07-31;13;15.4;20.916129;14.537419;10.564516;77.709677;
1968-08-31;12;58;21.432258;14.870323;10.825806;78.314516;
1968-09-30;9;20.5;23.376667;16.724667;12.716667;75.158333;
1968-10-31;14;91;24.383871;18.549677;14.541935;77.935484;
1968-11-30;8;68;27.203333;20.698;16.42;72.641667;
1968-12-31;11;147.9;27.448387;21.985806;18.067742;75.556452;
1969-01-31;18;146.1;29.177419;22.910323;19.009677;77.669355;
1969-02-28;17;173.7;28.339286;22.723571;19.285714;80.330357;
1969-03-31;14;108.8;27.819355;21.788387;18.012903;78.427419;
1969-04-30;14;105.4;24.873333;18.783333;15.08;81.033333;
1969-05-31;16;36.8;23.606452;17.489032;13.367742;77.33871;
1969-06-30;7;50.1;22.493333;16.694667;12.72;75.3;
1969-07-31;10;11.3;22.564516;15.834194;11.625806;75.5;
1969-08-31;10;34.2;23.722581;16.968387;12.945161;76.387097;
1969-09-30;13;50.6;25.166667;18.724667;14.736667;80.083333;
1969-10-31;17;237.9;22.612903;17.156774;13.86129;84.677419;
1969-11-30;22;300.7;25.533333;20.226667;17.053333;83.35;
1969-12-31;12;98.6;25.045161;19.567097;15.848387;78.314516;
1970-01-31;20;351.7;26.980645;21.250968;17.712903;83.282258;
1970-02-28;19;416.2;26.857143;21.857143;18.939286;84.830357;
1970-03-31;9;120.6;27.993548;22.098065;18.535484;80.508065;
1970-04-30;10;49.2;25.91;19.792;16;79.308333;
1970-05-31;5;80.8;25.109677;19.225161;15.370968;78.443548;
1970-06-30;7;87.2;23.256667;17.892;14.25;78.483333;
1970-07-31;14;25.9;21.254839;15.48129;11.725806;80.572581;
1970-08-31;11;84.1;22.103226;16.116129;12.187097;76.032258;
1970-09-30;11;104.1;23.216667;16.986;13.57;82.1;
1970-10-31;11;83.5;24.248387;18.214839;14.335484;81.959677;
1970-11-30;12;110.8;24.303333;18.449333;14.303333;80.25;
1970-12-31;12;145.9;28.432258;22.354194;17.770968;78.370968;
1971-01-31;13;187.5;29.977419;23.592903;19;72.808333;
1971-02-28;14;185.7;29.842857;23.046429;18.957143;78.553571;
1971-03-31;16;299.7;28.429032;22.200645;18.554839;82.895161;
1971-04-30;9;97.3;24.51;19.024667;15.366667;83.698276;
1971-05-31;9;64.1;22.567742;16.86129;13.119355;84.185484;
1971-06-30;13;76.4;20.766667;15.429333;11.603333;84.491667;
1971-07-31;6;34.1;22.341935;15.552258;10.774194;79.064516;
1971-08-31;7;9.7;23.277419;16.922581;12.770968;76.919355;
1971-09-30;9;62;24.016667;17.722667;13.19;75.891667;
1971-10-31;13;137.3;23.587097;17.662581;13.625806;81.403226;
1971-11-30;13;97.9;24.326667;18.560667;14.41;79.875;
1971-12-31;20;157.2;26.287097;20.909032;16.787097;81.024194;
1972-01-31;20;294.7;27.577419;21.976129;18.164516;79.298387;
1972-02-29;19;173;26.531034;21.517931;18.244828;82.862069;
1972-03-31;11;133.5;28.029032;22.458065;18.648387;81.959677;
1972-04-30;11;47;23.403333;17.862667;13.873333;80.858333;
1972-05-31;8;34.1;23.825806;18.187742;14.13871;77.927419;
1972-06-30;1;3.6;25.29;18.612667;13.24;66.316667;
1972-07-31;9;71.9;21.445161;15.855484;12.141935;78.733871;
1972-08-31;12;94;22.790323;17.359355;13.322581;75.653226;
